title,authors,publication_date,abstract,url,id
Regulators: work with delinquent mortgage borrowers,anonymous,N/A,N/A,,fedafu:35887
Georgia unemployment rate 'problem' provides a lesson,"Krikelas, Andrew C.",N/A,N/A,,fedaru:17922
Assessing the macroeconomic impact of bank intermediation shocks: a structural approach,"Zha, Tao, Chen, Kaiji",N/A,"We take a structural approach to assessing the empirical importance of shocks to the supply of bank-intermediated credit in affecting macroeconomic fluctuations. First, we develop a theoretical model to show how credit supply shocks can be transmitted into disruptions in the production economy. Second, we use the unique micro-banking data to identify and support the model's key mechanism. Third, we find that the output effect of credit supply shocks is not only economically and statistically significant but also consistent with the vector autogression evidence. Our mode estimation indicates that a negative one-standard-deviation shock to credit supply generates a loss of output by 1 percent.",https://www.frbatlanta.org/-/media/Documents/research/publications/wp/2015/08.pdf?la=en,fedawp:13426:original
Technological change in large U.S. commercial banks,"Hunter, William C., Timme, Stephen G.",N/A,N/A,,fedawp:13554:original
"Discussion of Preston, \""Learning about monetary policy rules when long-horizon expectations matter\""","Honkapohja, Seppo",N/A,"The design of interest rate rules for conducting monetary policy have recently been examined for two key concerns. The first issue is determinacy of equilibria. Indeterminacy (multiplicity of stationary rational expectations equilibria) is a concern in models of monopolistic competition and price stickiness are currently a popular framework for the study of monetary policy. The second issue is stability of equilibria under adaptive learning. Some interest rate rules do not perform well when the expectations of the agents get out of equilibrium, e.g. as a result of structural shifts.",https://www.atlantafed.org/-/media/documents/research/publications/wp/2003/wp0319.pdf,fedawp:13686:original
Native American Bank: banking the unbanked,"Swan, Jon",N/A,"In 2001, 21 tribes formed Native American Bancorporation, the first nationally focused tribal bank. A Chippewa Cree and former assistant vice president of commercial lending explains why NAB?s understanding of tribal law has helped the bank serve customers better.",http://www.bostonfed.org/commdev/c&b/2008/summer/swan_Native_American_Bank.pdf,fedbcb:19021
"Economic distress and resurgence in U.S. central cities: concepts, causes, and policy levers","Munoz, Ana Patricia, Kodrzycki, Yolanda",N/A,"This paper provides a review of the literature on U.S. central city growth and distress during the second half of the twentieth century. It finds that city growth tended to be higher in metropolitan areas with favorable weather, higher growth, and greater human capital, while distress was strongly correlated with city-level manufacturing legacy. The article affirms that distress has been highly persistent, but that some cities have achieved resurgence through a combination of strong leadership, collaboration across sectors and institutions, clear and broad-based strategies, and significant infrastructure investments. Finally, the article explores measurement issues by comparing two methodologies used to identify poorly performing central cities: comparisons across a comprehensive national cross-section of cities and comparisons within smaller samples of similar cities. It finds that these approaches have produced similar assessments of a city?s status, except in some cases where the city?s progress has been uneven across time or with respect to alternative criteria.",http://www.bostonfed.org/economic/ppdp/2013/ppdp1303.htm,fedbpp:10855
Procyclical real wages under nominal-wage contracts with productivity variations,"Hoehn, James G.",N/A,A modification of existing sticky-wage models to account for the observed cyclical behavior of real wages by means of a model that introduces productivity factors into nominal-wage contracts.,http://www.clevelandfed.org/research/review/1988/88-q4-hoehn.pdf,fedcer:11090
Making financial markets safer for consumers: lessons from consumer goods markets and beyond,"Littman, Daniel A., Fitzpatrick, Thomas J., Whitaker, Stephan D.",N/A,"In the wake of the mortgage meltdown, policymakers are discussing how best to protect consumers in financial product markets.",https://fraser.stlouisfed.org/title/6763/item/627558/toc/635281,fedcff:11656
Underlying determinants of closed-bank resolution costs,"Osterberg, William P., Thomson, James B.",N/A,"An analysis of the issues surrounding bank resolution costs, looking at failures from 1986 to 1992 and including proxies for fraud, off-balance-sheet risk, brokered deposits, and both regional and size effects. Evidence suggests there was a significant lag between the realization and recognition of losses on bank assets, and that regulators may have practiced forbearance.",https://fraser.stlouisfed.org/scribd/?item_id=494603&filepath=/docs/historical/frbclev/wp/frbclv_wp1994-03.pdf#scribd-open,fedcwp:39254:original
