title,authors,year,pages,url,id,abstract
"Discussion of Preston, \""Learning about monetary policy rules when long-horizon expectations matter\""","Honkapohja, Seppo",N/A,N/A,https://www.atlantafed.org/-/media/documents/research/publications/wp/2003/wp0319.pdf,fedawp:13686:original,"The design of interest rate rules for conducting monetary policy have recently been examined for two key concerns. The first issue is determinacy of equilibria. Indeterminacy (multiplicity of stationary rational expectations equilibria) is a concern in models of monopolistic competition and price stickiness are currently a popular framework for the study of monetary policy. The second issue is stability of equilibria under adaptive learning. Some interest rate rules do not perform well when the expectations of the agents get out of equilibrium, e.g. as a result of structural shifts."
Bank capital standards for foreign exchange and other market risks,"Levonian, Mark E.",N/A,3-18,https://www.frbsf.org/wp-content/uploads/94-1_3-18.pdf,fedfer:23113,"The Basle Committee on Banking Supervision has proposed methods for incorporating consideration of market risks--exchange rate, interest rate, and equity price risks--into risk-based capital standards for banks.  This paper shows that the separate and seemingly different proposed approaches to the three sources of risk are consistent with one another, reflecting a single unifying theme.  That theme is the measurement of risk through a weighting of two different measures of portfolio size, the gross position and the net position.  A simple theoretical model demonstrates that such an approach can be viewed as a simple (specifically, an affine) approximation to a portfolio variance calculation based on the full variance-covariance matrix of market returns, and thus provides a reasonable basis for a practical approach to capital standards.  An empirical test of one part of the framework, the proposal for exchange rate risk, shows that the approximation may be very accurate:  the proposed Basle approach captures over 95 percent of the variation in foreign exchange risk across a sample of banks from the Twelfth Federal Reserve District."
Banking across borders with heterogeneous banks,"Niepmann, Friederike",N/A,55 pages,https://www.newyorkfed.org/medialibrary/media/research/staff_reports/sr609.pdf,fednsr:12085,"Individual banks differ substantially in their foreign operations. This paper introduces heterogeneous banks into a general equilibrium framework of banking across borders to explain the documented variation. While the model matches existing micro and macro evidence, novel and unexplored predictions of the theory are also strongly supported by the data: The efficiency of the least efficient bank active in a host country increases the greater the impediments to banking across borders and the efficiency of the banking sector in the host country. There is also evidence of a tradeoff between proximity and fixed costs in banking. Banks hold more assets and liabilities in foreign affiliates relative to cross-border positions if the target country is further away and the cost of foreign direct investment is low. These results suggest that fixed costs play a crucial role in the foreign activities of banks."
Entry dynamics and the decline in exchange-rate pass-through,"Gust, Christopher J., Vigfusson, Robert J., Leduc, Sylvain",N/A,N/A,http://www.federalreserve.gov/pubs/ifdp/2010/1008/default.htm,fedgif:36730:original,"The degree of exchange-rate pass-through to import prices is low. An average pass-through estimate for the 1980s would be roughly 50 percent for the United States implying that, following a 10 percent depreciation of the dollar, a foreign exporter selling to the U.S. market would raise its price in the United States by 5 percent. Moreover, substantial evidence indicates that the degree of pass-through has since declined to about 30 percent. ; Gust, Leduc, and Vigfusson (2010) demonstrate that, in the presence of pricing complementarity, trade integration spurred by lower costs for importers can account for a significant portion of the decline in pass-through. In our framework, pass-through declines solely because of markup adjustments along the intensive margin. ; In this paper, we model how the entry and exit decisions of exporting firms affect pass-through. This is particularly important since the decline in pass-through has occurred as a greater concentration of foreign firms are exporting to the United States. ; We find that the effect of entry on pass-through is quantitatively small and is more than offset by the adjustment of markups that arise only along the intensive margin. Even though entry has a relatively small impact on pass-through, it nevertheless plays an important role in accounting for the secular rise in imports relative to GDP. In particular, our model suggests that over 3/4 of the rise in the U.S. import share since the early 1980s is due to trade in new goods. Thus, a key insight of this paper is that adjustment of markups that occur along the intensive margin are quantitatively more important in accounting for secular changes in pass-through than adjustments that occur along the extensive margin."
"Managing a New Policy Framework: Paul Volcker, the St. Louis Fed, and the 1979-82 War on Inflation","Wheelock, David C., Kliesen, Kevin L.",1979,31 pages,https://s3.amazonaws.com/real.stlouisfed.org/wp/2020/2020-022.pdf,fedlwp:88437:original,"In October 1979, Federal Reserve Chairman Paul Volcker persuaded his FOMC colleagues to adopt a new policy framework that i) accepted responsibility for controlling inflation and ii) implemented new operating procedures to control the growth of monetary aggregates in an effort to restore price stability. These moves were strongly supported by monetarist-oriented economists, including the leadership and staff of the Federal Reserve Bank of St. Louis. The next three years saw inflation peak and then fall sharply, but also two recessions and considerable volatility in interest rates and money supply growth rates. This article reviews the episode through the lens of speeches and FOMC meeting statements of Volcker and St. Louis Fed president Lawrence Roos, and articles by Roos’ staff. The FOMC adopted monetarist principles to establish the Fed’s anti-inflation credibility but Volcker was willing to accept deviations of money growth from the FOMC’s targets, unlike Roos, who viewed the targets as sacrosanct. The FOMC abandoned monetary aggregates in October 1982, but preserved the Fed’s commitment to price stability. The episode illustrates how Volcker used a change in operating procedures to alter policy fundamentally, and later adapt the procedures to changed circumstances without abandoning the foundational features of the policy."
Recent developments in the analysis of monetary policy rules,"McCallum, Bennett T.",N/A,3-12,https://files.stlouisfed.org/files/htdocs/publications/review/99/11/9911bm.pdf,fedlrv:25087,"After a brief review of key developments in application of monetary theory to policy analysis, Bennett T. McCallum describes the central aspects of the typical framework used to analyze monetary policy rules. He reviews the methods used to study the effects of policy behavior and provides an example of how two rules (the McCallum rule and the Taylor rule) can be used to investigate recent monetary policy in Japan. His example shows why it may be important for central banks to develop monetary policy procedures based on monetary-aggregate as well as interest-rate instruments."
Out from the shadows : The run on shadow banking and a framework for reform,"Haltom, Renee Courtois",N/A,22-25,https://www.richmondfed.org/-/media/richmondfedorg/publications/research/econ_focus/2010/q3/pdf/feature3.pdf,fedrrf:62131,Related links: https://www.richmondfed.org/-/media/richmondfedorg/publications/research/econ_focus/2010/q3/feature3_weblinks.cfm
Understanding Climate Damages: Consumption versus Investment,"Fried, Stephie, Casey, Gregory, Gibson, Matthew",N/A,61,https://www.frbsf.org/wp-content/uploads/sites/4/wp2022-21.pdf,fedfwp:94890:original,"Existing climate-economy models use aggregate damage functions to model the effects of climate change. This approach assumes climate change has equal impacts on the productivity of firms that produce consumption and investment goods or services. We show the split between damage to consumption and investment productivity matters for the dynamic consequences of climate change. Drawing on the structural transformation literature, we develop a framework that incorporates heterogeneous climate damages. When investment is more vulnerable to climate, we find short-run consumption losses will be smaller than leading models with aggregate damage functions suggest, but long-run consumption losses will be larger. We quantify these effects for the climate damage from heat stress and find that accounting for heterogeneous damages increases the welfare cost of climate change by approximately 4 to 24 percent, depending on the discount factor."
Stability of funding models: an analytical framework,"Yorulmazer, Tanju, Eisenbach, Thomas M., McAndrews, James J., Keister, Todd",N/A,29-47,https://www.newyorkfed.org/medialibrary/media/research/epr/2014/1402yor3.pdf,fednep:19766,"With the recent financial crisis, many financial intermediaries experienced strains created by declining asset values and a loss of funding sources. In reviewing these stress events, one notices that some arrangements appear to have been more stable?that is, better able to withstand shocks to their asset values and/or funding sources?than others. Because the precise determinants of this stability are not well understood, gaining a better grasp of them is a critical task for market participants and policymakers as they try to design more resilient arrangements and improve financial regulation. This article uses a simple analytical framework to illustrate the determinants of a financial intermediary?s ability to survive stress events. An intermediary in the framework faces two types of risk: the value of its assets may decline and/or its short-term creditors may decide not to roll over their debt. The authors measure stability by looking at the combinations of shocks the intermediary can experience while remaining solvent. They study how stability depends on the intermediary?s balance-sheet characteristics, such as its leverage, the maturity structure of its debt, and the liquidity and riskiness of its asset portfolio. They also show how the framework can be applied to examine current policy issues, including liquidity requirements, discount window policy, and different approaches to reforming money market mutual funds."
House Price Growth Interdependencies and Comovement,"Cohen, Jeffrey P., Soques, Daniel, Coughlin, Cletus C.",N/A,35 pages,https://s3.amazonaws.com/real.stlouisfed.org/wp/2019/2019-028.pdf,fedlwp:9344:89570,"This paper examines house price comovement across U.S. metropolitan areas (MSAs). We develop a Markov-switching framework that includes a spatial similarity element based on distances between MSAs. Our approach allows for house price comovements that occur due to similar timing of downturns across groups or clusters of MSAs. The inclusion of the spatial element improves the model fit compared to a standard endogenous clustering model. We find seven clusters of MSAs, where each cluster experiences idiosyncratic house price downturns, plus one distinct national house price cycle. Notably, only the housing downturn associated with the Great Recession spread across all the MSAs in our sample; all other house price downturns remained contained to a single cluster. We also identify MSA economic and geographic characteristics that correlate with cluster membership.  In addition, while prior research has found housing and business cycles to be related closely at the national level, we find very different house price comovement and employment comovement across clusters and across MSAs."
